ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
241,0,0,1,2,1,0,3,0,2,2,1
242,0,0,1,1,0,0,2,3,2,2,0
243,0,0,1,2,0,1,0,0,2,2,0
244,0,0,1,2,0,1,0,0,2,2,0
245,0,0,1,2,0,1,0,0,2,1,0
246,0,0,1,2,0,0,3,0,2,1,1
247,1,0,1,2,0,0,3,3,2,0,1
248,0,0,1,2,1,1,4,1,2,2,0
249,0,0,1,2,0,0,3,0,2,1,0
250,0,0,1,0,1,0,3,3,2,1,0
251,0,0,0,0,0,0,3,3,2,1,0
252,0,0,0,2,1,1,0,0,2,2,1
253,1,0,0,2,2,1,3,3,2,3,1
254,1,0,1,2,0,1,0,0,2,0,0
255,0,0,0,2,0,0,0,0,2,2,1
256,1,0,1,0,1,1,3,3,2,2,0
257,1,2,0,2,0,0,0,0,2,3,0
258,0,2,0,2,0,1,3,0,2,1,1
259,0,2,1,2,0,1,0,0,2,1,0
260,0,2,1,0,0,0,3,0,2,1,0
261,0,2,0,2,1,1,0,0,2,2,0
262,1,2,1,2,1,0,0,3,2,3,1
263,0,2,0,2,0,0,2,3,2,1,0
264,1,2,1,1,1,0,3,3,2,0,1
265,1,2,0,0,0,0,0,0,2,2,1
266,0,2,0,2,1,0,2,3,2,1,1
267,1,2,1,2,1,0,3,3,2,2,1
268,1,2,1,0,0,0,0,0,2,3,0
269,0,2,1,2,0,0,3,3,2,2,0
270,1,2,0,2,1,1,0,0,2,0,0
271,1,2,1,2,0,0,0,0,2,0,0
272,0,2,0,2,0,1,0,0,2,2,0
273,1,2,0,2,0,1,2,1,2,3,0
274,0,2,0,2,0,1,0,0,2,3,0
275,1,2,0,2,0,0,3,3,2,0,0
276,0,2,1,2,1,0,3,3,2,1,0
277,1,2,0,1,0,0,0,0,2,3,0
278,1,2,0,1,1,0,3,3,2,0,0
279,0,2,1,2,0,1,0,0,2,2,0
280,1,2,1,2,2,0,0,0,2,1,0
281,1,2,1,2,1,1,0,0,2,0,1
282,0,2,1,2,1,1,3,0,2,1,1
283,0,2,1,2,1,0,3,3,2,1,0
284,0,2,1,2,1,0,2,3,2,1,1
285,0,2,1,2,0,0,3,0,2,2,0
286,1,2,1,2,1,0,3,3,2,3,0
287,1,2,1,1,1,0,0,0,2,2,0
288,1,2,1,0,0,0,0,0,2,0,1
289,1,2,0,2,0,0,0,0,2,0,0
290,0,2,1,2,0,0,2,3,2,2,1
291,1,2,1,2,0,1,0,0,2,2,0
292,0,2,0,1,0,0,3,0,2,1,1
293,1,2,1,2,0,0,0,3,2,0,1
294,0,2,0,2,0,0,3,0,2,2,0
295,1,2,0,2,0,0,0,0,2,3,0
296,0,2,0,2,1,0,3,0,2,1,0
297,1,2,0,2,2,0,0,0,2,3,0
298,1,2,0,2,2,0,0,0,2,3,0
299,1,2,0,1,0,0,3,0,2,0,0
300,1,2,0,2,1,0,3,3,2,1,1
301,1,2,1,2,1,0,3,3,2,0,0
302,1,2,1,2,2,0,2,1,2,0,1
303,1,2,1,2,2,0,2,1,2,2,1
304,0,2,0,2,0,0,2,1,2,2,0
305,0,2,1,2,1,0,3,0,2,1,0
306,1,2,0,0,0,0,3,3,2,0,0
307,0,2,0,2,1,0,2,3,2,1,0
308,1,2,0,2,1,0,2,1,2,2,1
309,0,2,0,2,0,1,0,0,2,2,0
310,0,2,1,2,0,1,0,0,2,2,0
311,1,2,0,2,0,1,0,0,2,3,0
312,1,2,1,2,1,1,2,1,2,2,0
313,1,2,0,2,0,0,3,3,2,0,1
314,1,2,1,2,1,0,3,3,2,3,0
315,1,2,0,0,0,0,3,3,2,3,0
