ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
129,1,26,Male,Married,20000,Frist-Hand,420000,330000,120,5.814,Average_Capital_Plus_Interest_Repayment
130,0,26,Male,Married,6800,Frist-Hand,768710.75,298000,120,4.158,Average_Capital_Plus_Interest_Repayment
131,0,26,Female,Married,4600,Frist-Hand,575084.95,210000,120,4.158,Average_Capital_Plus_Interest_Repayment
132,0,26,Female,Married,5500,Frist-Hand,936972.67,150000,120,4.158,Average_Capital_Plus_Interest_Repayment
133,1,27,Female,Single,6000,Second-Hand,359875,180000,120,6.426,Average_Capital_Plus_Interest_Repayment
134,1,27,Female,Married,3100,Frist-Hand,188419,141000,120,5.049,Average_Capital_Plus_Interest_Repayment
135,1,27,Female,Married,23000,Frist-Hand,1340233,1070000,120,6.12,Average_Capital_Plus_Interest_Repayment
136,0,27,Male,Single,5250,Second-Hand,539676.9,190000,120,4.158,Matching_The_Principal_Repayment
137,1,27,Male,Single,10000,Frist-Hand,701847,5.00E+05,120,5.049,Matching_The_Principal_Repayment
138,0,27,Female,Single,7000,Frist-Hand,858246.3,280000,120,4.158,Average_Capital_Plus_Interest_Repayment
139,1,28,Female,Single,5000,Frist-Hand,244248,120000,120,5.814,Average_Capital_Plus_Interest_Repayment
140,0,28,Female,Single,4850,Second-Hand,571910.93,120000,120,5.346,Average_Capital_Plus_Interest_Repayment
141,0,28,Male,Single,8000,Frist-Hand,683547.26,350000,120,5.049,Average_Capital_Plus_Interest_Repayment
142,1,28,Female,Unknown,50000,Second-Hand,2640000,1500000,120,6.6555,Average_Capital_Plus_Interest_Repayment
143,0,28,Male,Single,12000,Frist-Hand,1504780.41,620000,120,4.158,Average_Capital_Plus_Interest_Repayment
144,0,28,Male,Married,7000,Frist-Hand,749673.87,190000,120,5.049,Average_Capital_Plus_Interest_Repayment
145,0,28,Male,Single,12000,Frist-Hand,1161559.81,5.00E+05,120,4.158,Matching_The_Principal_Repayment
146,1,29,Male,Single,7000,Second-Hand,373143,260000,120,6.6555,Average_Capital_Plus_Interest_Repayment
147,0,29,Male,Single,5500,Frist-Hand,710303.18,190000,120,4.032,Matching_The_Principal_Repayment
148,0,29,Male,Single,7000,Frist-Hand,704478.01,3.00E+05,120,5.049,Average_Capital_Plus_Interest_Repayment
149,0,29,Female,Unknown,8000,Frist-Hand,747644.32,270000,120,4.158,Average_Capital_Plus_Interest_Repayment
150,1,29,Male,Single,6000,Frist-Hand,575755,180000,120,6.6555,Average_Capital_Plus_Interest_Repayment
